listing_status,list_price,beds,baths,sqft_living,lot_sqft,year_built,city,zip_code,latitude,longitude,hoa_fee,days_on_market,price_per_sqft,listing_type,parking_garage,stories,house_age,baths_per_bed,total_rooms,sqft_per_bed,log_list_price,log_sqft_living,property_type_LAND,property_type_MOBILE,property_type_MULTI_FAMILY,property_type_SINGLE_FAMILY,property_type_TOWNHOMES
FOR_SALE,2995000,3.0,3.0,2871.0,218.0,2011.0,Austin,78701,30.265737,-97.74657,3300.0,118.0,1043.0,for_sale,2.0,1.0,15.0,1.0,6.0,957.0,14.912455123421447,7.962763930168115,0,0,0,0,0
FOR_SALE,3500000,2.0,2.0,1953.0,157.0,2011.0,Austin,78701,30.265737,-97.74657,2553.0,194.0,1792.0,for_sale,3.0,1.0,15.0,1.0,4.0,976.5,15.068273812173887,7.577633832602728,0,0,0,0,0
FOR_SALE,635000,2.0,2.0,793.0,61.0,2019.0,Austin,78701,30.255883,-97.73894,675.0,35.0,801.0,for_sale,2.0,1.0,7.0,1.0,4.0,396.5,13.361381852676738,6.677083461247136,0,0,0,0,0
FOR_SALE,379000,0.0,1.0,558.0,157.0,2014.0,Austin,78701,30.267402,-97.752016,556.0,100.0,679.0,for_sale,1.0,1.0,12.0,1.0,1.0,558.0,12.84529412258351,6.326149473155099,0,0,0,0,0
FOR_SALE,2995000,2.0,2.0,1646.0,,2020.0,Austin,78701,30.26626,-97.749883,1650.0,73.0,1820.0,for_sale,2.0,1.0,6.0,1.0,4.0,823.0,14.912455123421447,7.4067107301776405,0,0,0,0,0
FOR_SALE,349900,1.0,1.0,709.0,440.0,1964.0,Austin,78701,30.270079,-97.747568,568.0,65.0,494.0,for_sale,1.0,1.0,62.0,1.0,2.0,709.0,12.765405536311112,6.565264970035361,0,0,0,0,0
FOR_SALE,369000,1.0,1.0,637.0,78.0,1940.0,Austin,78701,30.270082,-97.743708,631.0,4.0,579.0,for_sale,1.0,1.0,86.0,1.0,2.0,637.0,12.818554633046093,6.45833828334479,0,0,0,0,0
FOR_SALE,849000,2.0,2.0,1115.0,131.0,2008.0,Austin,78701,30.267661,-97.749622,964.0,118.0,761.0,for_sale,2.0,1.0,18.0,1.0,4.0,557.5,13.651815643149092,7.017506142941256,0,0,0,0,0
FOR_SALE,1300000,1.0,1.0,1060.0,244.0,2010.0,Austin,78701,30.261884,-97.742441,1164.0,171.0,1226.0,for_sale,1.0,1.0,16.0,1.0,2.0,1060.0,14.077875591662238,6.966967138613983,0,0,0,0,0
FOR_SALE,675000,2.0,2.0,1225.0,161.0,2008.0,Austin,78701,30.267661,-97.749622,1209.0,4.0,551.0,for_sale,2.0,1.0,18.0,1.0,4.0,612.5,13.42246945133505,7.111512116496157,0,0,0,0,0
